FECHA,PETRÓLEO_AR,GAS ASOC_AR,PETRÓLEO_BA,GAS ASOC_BA,PETRÓLEO_5PR,GAS ASOC_5PR,PETRÓLEO_GIR,GAS ASOC_GIR,PETRÓLEO_JUS,GAS ASOC_JUS,PETRÓLEO_LA,GAS ASOC_LA,PETRÓLEO_BE,GAS ASOC_BE
1992/OCT,1.415,2.225,3.988,5.99,8.977,17.346,6.933,127.942,0.606,6.29,2.273,6.779,,
1992/NOV,1.396,1.925,4.158,5.792,8.686,18.072,6.857,127.492,0.587,6.088,2.243,6.79,,
1992/DIC,1.373,1.891,4.277,5.405,8.538,17.59,6.818,128.154,0.587,6.093,2.227,7.284,,
1993/ENE,1.365,1.879,4.095,6.389,8.345,15.65,7.048,129.135,0.588,6.105,2.227,6.838,,
1993/FEB,0.955,1.661,4,6.62,8.45,14.932,6.936,124.696,0.582,5.91,2.227,7.01,,
1993/MAR,0.87,1.593,4.036,6.547,8.433,14.301,6.696,123.75,0.579,5.724,2.206,7.496,,
1993/ABR,0.968,1.765,4.024,6.125,8.437,13.829,6.462,118.8,0.584,5.774,2.188,7.331,,
1993/MAY,0.986,1.805,4.048,7.07,8.585,12.417,6.345,115.001,0.602,5.951,2.161,7.281,,
1993/JUN,0.763,1.508,4.031,7.771,8.353,12.199,6.237,110.833,0.646,6.39,2.088,7.395,,
1993/JUL,0.815,1.58,4.028,7.851,7.93,10.922,6.232,107.783,0.799,7.907,2.108,8.091,,
1993/AGO,0.841,1.63,4.002,7.461,7.452,10.184,6.226,105.091,0.734,7.258,2.1,8.219,,
1993/SEP,0.981,1.907,3.856,7.328,6.537,9.351,5.383,101.458,0.734,7.259,2.044,7.892,,
1993/OCT,1.013,2.228,3.855,6.775,7.238,9.793,5.419,98.782,0.75,7.422,2.044,7.946,,
1993/NOV,1.036,2.582,3.819,5.746,7.186,9.473,5.549,111.49,0.789,7.802,2.022,7.8,,
1993/DIC,0.947,2.633,3.772,4.834,7.492,8.429,5.144,115,0.799,7.853,2.057,7.568,,
1994/ENE,0.948,2.819,3.687,5.679,8.065,8.575,5.121,111.902,0.812,7.996,2.036,7.373,,
1994/FEB,0.966,3.088,3.299,5.099,7.779,8.434,4.702,99.906,0.824,7.635,2.007,7.109,,
1994/MAR,0.955,2.947,3.114,4.794,7.907,8.319,5.12,119.51,0.818,7.407,1.966,6.972,,
1994/ABR,0.971,2.972,2.878,4.006,7.919,8.254,5.095,121.832,0.83,7.484,1.906,6.651,,
1994/MAY,0.948,2.564,2.86,3.888,8.312,7.152,4.804,118.217,0.823,7.252,1.88,6.756,,
1994/JUN,0.994,2.6,2.896,3.798,8.583,6.666,4.497,120.236,0.826,7.391,1.897,7.111,,
1994/JUL,0.965,2.54,3.007,3.622,8.161,6.665,4.22,118.91,0.814,7.355,1.89,6.921,,
1994/AGO,0.94,2.542,3.07,3.502,7.676,6.356,4.038,114.912,0.793,7.879,1.881,6.961,,
1994/SEP,0.931,2.631,3.118,3.609,7.534,6.567,4.554,120.533,0.793,7.06,1.914,6.993,,
1994/OCT,0.929,2.625,3.047,3.628,7.297,5.763,5.124,122.936,0.801,6.971,1.944,6.924,,
1994/NOV,0.927,2.62,3.039,3.109,6.776,4.492,4.962,118.537,0.801,6.656,1.944,6.407,,
1994/DIC,1,2.822,3.076,2.998,6.227,4.084,5.212,120.059,0.794,6.439,1.936,6.332,,
1995/ENE,0.996,2.81,2.999,2.933,6.117,3.845,5.204,122.772,0.717,6.19,1.924,6.428,,
1995/FEB,0.993,2.805,2.247,2.852,6.399,4.193,5.172,119.739,0.632,6.203,1.876,5.968,,
1995/MAR,1.019,2.878,1.96,2.665,6.566,5.038,5.084,109.786,0.306,3.454,1.888,5.701,,
1995/ABR,0.768,2.195,1.945,2.213,6.774,4.75,4.914,109.888,0.125,1.688,1.863,5.776,,
1995/MAY,0.892,2.494,1.909,2.185,6.838,4.744,4.607,123.219,0.006,0.084,1.863,5.89,,
1995/JUN,0.883,2.392,1.924,1.843,6.88,4.673,4.84,120.991,,,1.856,6.219,,
1995/JUL,0.728,1.475,1.892,1.509,6.446,4.785,4.841,119.7,,,1.856,6.158,,
1995/AGO,0.727,1.484,1.872,2.26,5.973,4.195,4.435,111.184,,,1.856,6.286,,
1995/SEP,0.837,1.735,2.11,2.264,5.87,3.998,4.935,110.424,,,1.803,6.503,,
1995/OCT,0.647,1.276,2.362,2.321,5.666,3.473,4.99,113.907,,,1.476,6.302,,
1995/NOV,0.611,1.175,2.398,1.945,5.068,4.075,5.029,110.266,,,1.478,6.109,,
1995/DIC,0.644,1.243,2.494,2.094,5.87,3.942,4.782,109.164,,,1.64,6.243,,
1996/ENE,0.708,1.375,2.088,2.041,5.935,4.163,4.679,111.808,,,1.673,5.992,,
1996/FEB,0.733,1.6,2.169,2.449,6.545,3.846,4.577,112.561,,,1.66,5.929,,
1996/MAR,0.754,1.604,2.116,2.404,6.735,3.7,4.438,103.731,,,1.684,4.955,,
1996/ABR,0.632,1.303,2.09,2.914,6.508,3.583,4.429,98.838,,,1.707,5.005,,
1996/MAY,0.431,0.889,2.038,2.453,6.741,3.508,4.501,101.342,0.056,0.501,1.668,4.232,,
1996/JUN,0.417,0.861,1.996,2.234,7.766,3.677,4.536,100.78,0.92,8.57,1.591,4.237,,
1996/JUL,0.183,0.492,1.749,1.793,7.987,3.856,4.508,89.593,0.879,8.242,1.557,4.103,,
1996/AGO,0.139,0.407,1.543,1.789,8.016,4.055,3.796,79.115,0.803,7.843,1.554,4.269,,
1996/SEP,0.392,0.595,1.551,1.8,8.402,5.306,2.888,51.057,0.802,7.831,1.53,3.926,,
1996/OCT,0.751,0.77,1.605,1.805,7.834,6.432,3.228,63.698,0.849,7.63,1.49,3.522,,
1996/NOV,0.749,0.748,2.146,1.895,7.913,6.412,3.678,78.586,0.897,7.203,1.491,2.774,,
1996/DIC,0.786,0.765,2.036,1.556,7.707,5.834,3.621,78.684,0.883,6.938,1.491,2.376,,
1997/ENE,0.786,0.829,2.061,1.472,7.17,5.46,4.859,115.619,0.877,6.798,1.506,2.068,,
1997/FEB,1.119,1.285,1.95,1.495,6.979,6.018,4.989,115.927,0.898,6.266,1.527,1.998,,
1997/MAR,1.452,1.225,1.892,1.543,7.097,5.603,5.054,114.966,0.942,5.573,1.528,1.818,,
1997/ABR,1.455,1.203,1.999,1.773,7.076,6.822,5.084,115.033,0.908,4.93,1.524,1.855,,
1997/MAY,2.088,1.348,1.839,1.672,7.045,6.246,5.088,115.26,0.515,3.726,1.528,1.833,,
1997/JUN,1.147,0.924,1.716,1.396,6.737,7.141,4.606,108.124,0.393,2.01,1.528,2.17,,
1997/JUL,0.704,0.737,1.457,1.174,6.734,6.114,4.355,107.999,0.298,1.472,1.528,2.268,,
1997/AGO,0.713,0.745,1.368,1.099,6.813,6.594,4.202,107.645,,,1.515,2.133,,
1997/SEP,0.76,0.791,1.371,1.176,6.741,6.555,4.032,105.033,,,1.45,2.133,,
1997/OCT,0.68,0.699,1.23,1.2,6.724,5.644,4.096,103.643,,,1.375,2.136,,
1997/NOV,0.629,0.666,1.225,1.209,6.842,5.36,4.001,108.599,,,1.277,1.636,,
1997/DIC,0.697,0.726,1.272,1.39,6.964,4.903,3.988,105.936,,,1.178,1.375,,
1998/ENE,0.887,0.775,1.181,0.936,6.937,5.023,3.749,104.969,,,1.195,1.176,,
1998/FEB,1.049,0.886,1.197,0.907,6.827,5.853,3.866,104.78,,,1.136,1.118,,
1998/MAR,0.91,0.705,1.22,1.231,6.894,5.579,3.283,102.774,,,1.182,1.459,,
1998/ABR,0.859,0.757,1.188,1.263,6.852,4.748,3.015,96.01,,,1.181,1.428,,
1998/MAY,0.761,0.741,1.164,1.198,7.023,4.401,3.075,96.675,,,1.278,1.405,,
1998/JUN,0.608,0.634,1.116,1.443,7.115,4.55,3.053,96.473,,,1.629,1.773,,
1998/JUL,0.572,0.578,1.115,1.503,6.911,5.108,3.193,99.143,,,1.987,2.089,,
1998/AGO,0.538,0.497,1.013,1.307,6.783,4.787,3.544,107.699,,,1.619,2.358,,
1998/SEP,0.605,0.632,1.013,1.234,6.537,4.19,3.261,106.577,,,1.867,2.74,,
1998/OCT,0.894,0.903,1.014,1.167,5.77,3.493,3.108,101.729,,,1.93,3.183,,
1998/NOV,0.898,0.909,0.997,1.255,5.92,4.362,3.566,105.005,,,1.951,3.299,,
1998/DIC,0.898,0.906,1.025,1.678,6.726,4.856,3.784,101.968,,,1.955,2.212,,
1999/ENE,0.951,0.962,1.137,1.429,7.081,4.057,3.829,97.448,,,1.875,1.782,,
1999/FEB,0.958,0.969,1.081,1.009,7.357,3.635,3.512,95.6,,,1.873,1.272,,
1999/MAR,0.965,0.976,1.026,0.897,7.438,3.645,3.325,94.109,,,1.945,1.326,,
1999/ABR,1.106,1.08,1.008,0.573,7.459,3.627,3.187,93.809,,,1.947,1.234,,
1999/MAY,1.138,1.15,1.009,1.025,7.303,3.576,3.123,94.753,,,1.94,0.48,,
1999/JUN,1.146,1.159,0.955,0.882,6.571,3.475,3.118,94.642,,,1.887,1.693,,
1999/JUL,1.15,1.161,0.972,0.905,5.266,4.328,3.344,95.949,,,1.884,3.724,,
1999/AGO,1.24,1.251,0.981,1.248,6.152,4.429,3.331,96.644,,,1.85,4.043,,
1999/SEP,1.75,1.74,1.013,1.413,5.867,4.188,3.328,96.832,,,1.882,3.658,,
1999/OCT,1.639,1.668,0.977,1.301,6.239,4.461,3.313,96.29,,,1.764,3.812,,
1999/NOV,1.207,1.224,1.013,1.383,6.001,5.187,3.325,95.593,,,1.834,4.146,,
1999/DIC,1.088,1.085,0.967,0.985,5.887,3.9,3.425,95.484,,,1.824,3.911,,
2000/ENE,1.239,1.25,0.949,1.07,5.943,3.512,3.42,93.42,,,1.778,3.547,,
2000/FEB,1.243,1.255,0.94,0.934,6.677,4.496,3.22,90.103,,,1.831,2.855,,
2000/MAR,1.249,1.264,0.95,1.406,6.163,4.341,3.214,89.806,,,1.939,3.158,,
2000/ABR,1.244,1.259,0.886,1.195,5.802,3.039,3.347,95.099,,,1.936,3.703,,
2000/MAY,1.216,1.237,0.726,1.017,6.17,3.554,3.66,101.02,,,1.912,3.272,,
2000/JUN,1.197,1.208,0.794,1.238,6.391,4.033,3.685,105.192,,,1.951,3.209,,
2000/JUL,1.053,1.065,0.725,1.39,6.172,4.016,3.404,102.747,,,2.252,3.681,,
2000/AGO,0.982,0.993,0.691,1.307,6.187,3.266,3.399,100.691,,,2.209,3.683,,
2000/SEP,1.019,1.031,0.708,1.097,6.46,3.881,3.175,93.55,,,2.161,3.298,,
2000/OCT,1,1.012,0.718,0.606,6.849,3.933,3.184,90.997,,,1.935,2.907,,
2000/NOV,0.943,0.954,0.717,0.649,7.297,4.189,3.439,92.231,,,2.061,2.813,,
2000/DIC,1.167,1.054,0.717,0.728,7.098,4.535,3.614,93.02,,,1.986,3.053,,
2001/ENE,1.679,1.305,0.681,0.759,6.731,3.67,3.591,92.581,,,1.761,3.211,,
2001/FEB,1.718,1.357,0.623,0.764,6.719,3.659,3.516,91.315,,,1.748,2.855,,
2001/MAR,1.801,1.477,0.623,0.355,6.922,5.403,3.662,94.776,,,1.767,3.528,,
2001/ABR,1.888,1.599,0.706,0.416,7.295,4.236,3.142,96.632,,,1.835,3.511,,
2001/MAY,1.873,1.481,0.71,0.379,7.215,4.16,3.075,97.633,,,1.766,3.677,,
2001/JUN,1.844,0.9,0.717,0.485,6.606,4.848,3.183,109.659,,,1.697,3.586,,
2001/JUL,1.769,0.738,0.711,0.392,6.076,4.181,3.077,108.309,,,1.677,3.729,,
2001/AGO,1.74,0.722,0.728,0.536,5.932,4.416,3.025,107.626,,,1.777,3.419,,
2001/SEP,1.842,0.776,0.845,0.575,5.967,6.296,2.873,106.655,,,1.833,3.478,,
2001/OCT,2.044,1.864,0.844,0.638,6.403,7.942,2.425,105.973,,,1.769,3.481,,
2001/NOV,2.192,5.183,0.834,0.556,6.646,4.619,2.476,105.211,,,1.837,3.921,,
2001/DIC,2.265,5.407,0.801,0.406,7.024,4.459,2.572,108.414,,,1.786,3.775,,
2002/ENE,2.09,6.814,0.77,0.498,6.789,3.818,2.535,105.95,,,1.839,3.54,,
2002/FEB,2.123,7.05,0.643,0.836,7.038,3.89,2.51,104.848,0.072,0.236,1.862,2.77,,
2002/MAR,2.153,7.201,0.636,0.822,7.671,4.343,2.501,104.828,0.592,4.567,1.984,2.796,,
2002/ABR,2.161,7.596,0.66,0.841,7.675,3.862,2.487,105.313,0.631,5.384,1.906,2.649,,
2002/MAY,2.13,8.044,0.673,0.851,7.562,4.081,2.44,105.612,0.564,4.939,1.948,2.704,,
2002/JUN,2.012,10.362,0.678,0.851,8.572,5.238,2.408,104.519,0.816,7.401,1.998,2.788,,
2002/JUL,1.786,14.478,0.673,0.851,8.489,5.479,2.403,102.804,0.786,4.997,2.019,2.809,,
2002/AGO,1.624,14.485,0.735,0.884,9.311,6.362,2.395,101.303,0.786,4.43,1.965,2.744,,
2002/SEP,1.306,13.295,0.73,0.89,9.077,5.463,2.38,100.7,0.786,3.255,2.014,2.812,,
2002/OCT,1.232,13.348,0.731,0.892,9.131,5.284,2.434,98.56,0.595,3.123,1.802,2.514,,
2002/NOV,1.149,14.078,0.743,0.891,9.855,5.569,2.497,99.587,0.65,2.476,1.553,2.412,,
2002/DIC,1.131,14.03,0.897,1.091,9.444,7.182,2.51,98.562,0.793,3.923,1.869,2.807,,
2003/ENE,1.084,14.004,0.947,1.252,9.932,7.148,2.46,97.305,0.688,2.769,1.606,2.355,,
2003/FEB,1.215,14.184,1.026,1.327,9.832,7.303,2.431,94.647,0.472,2.624,2.06,2.762,,
2003/MAR,1.321,17.837,1.073,1.356,9.354,6.36,1.888,93.914,0.472,2.624,2.149,2.82,,
2003/ABR,1.308,17.713,1.033,1.201,8.355,4.01,2.047,95.136,0.471,2.62,1.899,2.401,,
2003/MAY,1.201,17.133,0.915,0.919,8.424,4.316,1.893,93.837,0.472,2.624,1.656,2.055,,
2003/JUN,1.07,19.713,0.955,1.504,7.877,3.953,2.082,96.219,0.464,2.582,1.82,2.221,,
2003/JUL,1.069,23.466,0.945,1.805,7.581,3.858,2.167,98.048,0.503,2.797,1.867,2.291,,
2003/AGO,0.995,23.397,0.995,1.917,7.813,3.966,2.189,98.062,0.503,2.797,1.873,2.301,,
2003/SEP,0.897,15.956,1,1.921,7.719,3.902,2.234,97.908,0.503,2.797,1.493,1.88,,
2003/OCT,0.969,16.031,0.949,1.914,7.299,3.779,2.365,96.141,0.453,2.719,1.731,2.067,,
2003/NOV,0.927,15.876,0.894,1.327,6.156,3.111,2.191,94.479,0.308,2.483,1.482,1.635,,
2003/DIC,1.028,15.994,0.823,0.823,6.049,3.136,2.071,93.053,0.144,1.105,1.511,1.704,,
2004/ENE,1.048,21.006,0.756,0.794,6.227,3.198,2.026,91.026,0.248,1.462,1.624,1.861,,
2004/FEB,1.079,24.207,0.729,0.775,5.726,2.833,1.979,90.612,0.15,1.449,1.646,1.885,,
2004/MAR,1.064,24.061,0.755,0.737,6.466,3.602,1.964,90.815,0.151,1.462,1.843,2.009,,
2004/ABR,1.062,23.074,0.752,0.621,6.349,3.655,1.927,90.115,0.151,1.46,1.653,1.752,,
2004/MAY,1.057,24.3,0.713,0.533,6.079,3.475,1.94,89.909,0.124,1.337,1.601,1.708,,
2004/JUN,1.043,24.85,0.733,0.544,6.027,3.922,1.954,90.409,0.074,1.215,1.709,1.801,,
2004/JUL,1.057,24.637,0.744,0.582,5.581,4.062,1.961,88.731,0.1,1.475,1.751,1.848,,
2004/AGO,1.274,24.806,0.697,0.605,4.917,3.817,1.92,85.38,0.101,1.49,1.821,1.938,,
2004/SEP,1.164,24.902,0.707,0.554,4.264,3.49,1.868,87.061,0.101,1.49,1.803,1.915,,
2004/OCT,1.11,23.026,0.659,0.546,4.152,3.339,1.847,88.763,0.101,1.492,1.902,1.958,,
2004/NOV,1.22,21.619,0.425,0.342,4.05,3.371,1.83,86.217,0.101,1.49,1.96,2.008,,
2004/DIC,1.165,21.504,0.194,0.155,4.048,3.541,1.832,86.042,0.104,1.464,1.974,2.015,,
2005/ENE,1.127,21.944,0.555,0.49,3.839,3.464,1.821,85.872,0.094,1.531,1.981,2.027,,
2005/FEB,1.088,20.882,0.535,0.446,3.563,3.207,1.712,82.219,0.764,3.491,2.013,2.221,,
2005/MAR,1.073,23.13,0.522,0.438,3.699,3.462,1.692,81.365,0.867,4.338,1.975,2.02,,
2005/ABR,0.905,24.906,0.517,0.434,3.26,2.775,1.618,81.774,0.412,2.834,1.928,1.972,,
2005/MAY,0.849,21.205,0.516,0.435,3.054,2.525,1.463,77.029,0.163,2.048,1.836,1.913,,
2005/JUN,0.76,16.075,0.521,0.437,2.884,2.399,1.389,75.461,0.157,2.048,1.695,1.843,,
2005/JUL,0.72,14.363,0.464,0.384,2.562,2.328,1.279,70.24,0.157,2.048,1.902,2.033,,
2005/AGO,0.608,9.637,0.441,0.392,2.338,2.577,1.243,67.882,0.155,2.024,1.955,2.241,,
2005/SEP,0.568,9.776,0.409,0.399,2.552,2.725,1.286,67.71,0.157,2.048,1.987,2.437,,
2005/OCT,0.52,9.383,0.394,0.391,3.474,2.3,1.217,67.85,0.76,5.391,1.94,2.345,,
2005/NOV,0.537,8.5,0.396,0.392,4.072,2.753,1.342,66.5,0.922,6.383,1.979,2.377,,
2005/DIC,0.598,8.549,0.459,0.483,4.192,3.332,1.465,65.777,0.934,6.116,2.037,2.445,,
2006/ENE,0.683,6.099,0.418,0.473,3.974,3.353,1.447,64.584,0.962,6.088,1.984,2.427,,
2006/FEB,0.692,5.767,0.622,0.717,3.668,3.292,1.461,64.639,1.324,9.468,1.921,2.374,,
2006/MAR,0.743,4.97,0.667,0.766,4.123,3.598,1.225,62.856,0.909,7.526,1.817,2.272,,
2006/ABR,0.711,4.138,0.615,0.687,4.256,3.788,1.138,61.355,0.617,5.389,1.828,2.289,,
2006/MAY,1.087,3.795,0.414,0.492,4.582,3.832,1.115,61.13,0.538,4.734,1.771,2.21,,
2006/JUN,1.421,5.23,0.421,0.498,3.991,3.452,1.1,61.474,0.515,4.525,1.796,2.247,,
2006/JUL,1.383,4.308,0.412,0.487,3.72,4.59,1.032,61.956,0.478,4.206,1.888,2.368,,
2006/AGO,1.4,4.368,0.421,0.498,2.854,3.531,1.056,62.901,0.478,4.206,1.892,2.232,,
2006/SEP,1.456,4.117,0.686,0.863,2.889,3.605,1.04,63.877,0.365,3.542,1.919,1.316,,
