FECHA,PETRÓLEO_AR,GAS ASOC_AR,PETRÓLEO_BA,GAS ASOC_BA,PETRÓLEO_5PR,GAS ASOC_5PR,PETRÓLEO_GIR,GAS ASOC_GIR,PETRÓLEO_JUS,GAS ASOC_JUS,PETRÓLEO_LA,GAS ASOC_LA,PETRÓLEO_BE,GAS ASOC_BE
2011/MAY,0.307,1.084,0.788,0.535,11.086,17.548,0.838,56.584,1.902,9.69,1.921,0.871,,
2011/JUN,0.283,0.526,0.817,0.562,10.795,17.934,0.819,58.13,1.869,9.433,1.9,0.904,,
2011/JUL,0.442,0.735,0.862,0.59,11.171,19.42,0.944,59.077,2.92,13.613,1.93,0.962,,
2011/AGO,0.497,0.733,0.862,0.59,11.055,15.938,0.897,59.05,3.663,16.875,2.309,1.41,,
2011/SEP,0.504,0.759,0.862,0.59,11.055,16.075,0.83,58.972,3.644,17.934,2.65,2.875,,
2011/OCT,0.396,0.616,0.863,0.587,10.589,15.721,0.888,59.191,3.599,17.955,2.68,1.577,,
2011/NOV,0.431,0.747,0.862,0.586,9.868,14.715,0.907,58.962,3.657,18.203,2.629,1.533,,
2011/DIC,0.328,0.767,0.862,0.586,9.694,14.306,0.912,58.978,3.538,18.981,2.613,1.491,,
2012/ENE,0.402,0.936,0.862,0.586,9.997,17.138,0.93,57.836,3.958,18.992,2.299,0.875,,
2012/FEB,0.484,0.989,0.862,0.586,10.19,18.988,0.898,52.185,3.952,18.919,2.229,0.839,,
2012/MAR,0.484,0.989,0.86,0.586,10.586,19.786,0.966,55.902,3.828,18.282,2.189,0.82,,
2012/ABR,0.486,0.988,0.862,0.586,11.143,20.103,0.956,55.766,3.855,18.315,2.049,1.119,,
2012/MAY,0.492,0.988,0.86,0.585,11.624,19.808,0.952,55.307,3.931,18.371,2.028,1.738,,
2012/JUN,0.492,0.996,0.855,0.579,12.06,19.915,0.985,56.564,4,18.427,2.08,1.898,,
2012/JUL,0.471,0.988,0.855,0.579,12.593,20.486,1,56.812,4.803,22.06,2.083,1.942,,
2012/AGO,0.478,1.017,0.855,0.607,12.567,18.528,1.025,56.068,4.751,22.69,2.03,1.669,,
2012/SEP,0.758,2.154,0.851,0.685,12.165,18.294,1.022,56.649,4.656,22.713,2.135,1.623,,
2012/OCT,1.233,2.66,1.003,0.898,12.247,19.04,1.003,53.017,4.871,21.07,2.318,2.42,,
2012/NOV,1.455,2.952,1.177,1.039,12.363,20.167,0.889,48.588,5.271,20.73,2.315,2.586,,
2012/DIC,1.688,3.602,1.333,1.127,12.559,20.397,0.82,48.679,5.285,21.643,2.308,2.582,0.027,0.007
2013/ENE,1.721,2.314,1.431,1.416,13.123,19.921,0.808,49.06,5.775,27.797,2.308,2.582,0.18,0.136
2013/FEB,2.793,3.395,1.731,2.112,12.073,18.036,0.789,54.239,5.811,33.493,2.308,2.705,0.083,0.147
2013/MAR,3.304,4.67,2.262,2.375,11.351,17.383,0.788,54.712,5.868,34.514,2.302,2.709,0.08,0.053
2013/ABR,4.476,6.09,2.325,2.433,10.442,16.479,0.728,51.825,5.704,31.065,2.158,2.596,0.34,0.14
2013/MAY,4.409,5.357,2.48,2.662,9.017,15.202,0.739,52.112,6.204,31.343,2.099,2.29,0.71,0.21
2013/JUN,4.548,5.137,2.593,2.784,8.606,14.06,0.762,53.424,6.589,32.665,2.11,1.783,0.833,0.27
2013/JUL,5.279,5.992,2.724,2.78,8.389,12.68,0.795,55.141,6.447,31.457,2.209,1.598,0.807,0.27
2013/AGO,6.362,6.75,2.82,2.567,8.38,12.352,0.8,55.467,6.874,34.702,2.216,1.259,0.809,0.27
2013/SEP,6.897,6.713,2.856,2.518,8.018,11.559,0.86,57.608,7.152,36.654,2.191,1.263,0.781,0.27
2013/OCT,7.212,7.276,2.859,2.072,8.254,10.828,0.909,59.581,8.219,40.999,2.154,1.262,0.962,0.27
2013/NOV,6.869,6.53,2.587,1.898,8.27,10.943,0.867,59.104,8.149,40.684,2.151,1.261,1.04,0.242
2013/DIC,7.378,7.229,3.137,2.183,7.767,11.835,0.799,56.754,8.495,40.996,2.151,1.261,1.632,0.272
2014/ENE,8.233,8.167,3.634,2.442,8.031,11.55,0.814,56.748,8.72,42.749,2.06,1.114,1.638,0.272
2014/FEB,9.309,9.602,3.587,3.084,8.066,11.282,0.837,56.95,8.206,39.984,2.019,1.045,1.642,0.272
2014/MAR,9.571,9.418,3.16,2.83,7.876,10.925,0.842,57.154,6.587,31.195,2.019,1.045,1.632,0.35
2014/ABR,9.813,8.882,3.177,2.982,7.319,9.625,0.82,55.567,6.334,30.127,2.016,1.042,1.67,0.457
2014/MAY,10.028,7.398,3.249,3.26,7.206,8.97,0.903,56.402,6.193,29.28,1.988,1.038,1.642,0.458
2014/JUN,10.446,8.171,3.124,3.249,6.967,8.612,0.95,56.15,5.86,25.579,1.924,1.009,1.52,0.491
2014/JUL,10.62,8.63,2.682,2.894,7.089,7.406,0.95,56.125,5.47,24.342,1.892,0.988,1.607,0.473
2014/AGO,11.72,9.181,2.193,2.808,6.532,6.815,0.95,56.15,4.78,22.007,1.838,0.985,1.694,0.463
2014/SEP,12.875,9.282,2.437,2.993,7.052,7.149,0.95,56.143,4.045,19.111,1.633,0.937,1.712,0.463
2014/OCT,11.746,8.311,2.041,2.766,6.79,8.165,0.749,54.564,2.593,15.147,1.575,0.83,1.702,0.458
2014/NOV,13.397,9.892,1.773,2.558,7.128,9.566,0.659,52.711,1.695,9.981,1.559,0.805,1.608,0.389
2014/DIC,16.349,12.218,1.714,2.289,6.996,8.351,0.603,52.563,1.548,9.977,1.462,0.777,1.796,0.446
2015/ENE,17.44,15.639,1.606,2.095,7.304,9.311,0.566,52.014,1.339,8.596,1.131,0.715,2.042,0.438
2015/FEB,16.498,17.28,1.411,1.642,7.566,9.716,0.566,51.994,1.233,8.045,0.964,0.613,1.97,0.507
2015/MAR,13.948,16.539,1.538,1.432,7.681,10.023,0.566,52.071,1.486,10.153,1.08,0.73,2.07,0.575
2015/ABR,13.356,17.59,1.373,1.139,6.955,10.737,0.572,52.639,1.271,8.906,1.137,0.749,2.029,0.587
2015/MAY,13.93,19.589,1.185,0.989,6.464,9.818,0.572,52.745,0.912,8.08,1.138,0.713,2.02,0.595
2015/JUN,15.273,19.519,1.227,1.021,5.986,9.809,0.519,50.332,0.967,8.224,1.21,0.88,2.061,0.547
2015/JUL,16.423,21.386,1.468,1.101,5.606,7.471,0.469,47.34,0.803,7.56,1.137,0.92,2.197,0.648
2015/AGO,15.706,17.748,1.729,1.238,5.982,9.056,0.495,47.326,0.944,7.96,1.058,0.591,3.057,0.972
2015/SEP,15.481,16.027,1.674,1.281,6.76,9.528,0.564,41.457,1.034,7.771,1.139,0.765,3.29,1.098
2015/OCT,16.91,16.476,1.627,1.358,6.106,7.582,0.558,39.458,0.44,2.982,1.212,1.03,3.23,1.025
2015/NOV,17.73,17.718,1.46,1.315,5.844,8.743,0.495,36.292,0.274,2.596,1.302,1.218,3.349,1.167
2015/DIC,17.847,19.253,1.453,1.314,5.539,8.603,0.491,34.813,0.292,2.302,1.347,1.236,3.531,1.065
2016/ENE,16.657,20.151,1.442,1.296,5.413,8.393,0.513,36.783,0.22,1.639,1.359,1.24,3.64,1.352
2016/FEB,14.98,13.414,1.43,1.165,5.255,8.358,0.572,36.434,0.246,1.802,1.359,1.24,4.134,1.472
2016/MAR,13.894,11.19,1.438,1.108,4.763,8.083,0.516,34.911,0.196,1.832,1.293,0.99,3.652,1.483
2016/ABR,12.11,7.597,1.407,1.072,3.454,6.701,0.513,36.824,0.265,1.948,1.32,0.868,2.946,1.135
2016/MAY,11.351,6.983,1.1,0.895,4.406,7.727,0.516,37.458,0.26,1.843,1.333,0.869,2.776,1.079
2016/JUN,11.022,6.842,1.039,0.79,4.921,8.739,0.516,37.458,0.151,1.921,1.362,0.895,2.781,1.158
2016/JUL,10.285,7.864,1,0.777,5.839,9.274,0.516,37.458,0.151,1.921,1.384,0.915,2.739,1.076
2016/AGO,10.224,7.99,0.849,0.708,5.643,9.592,0.516,37.458,0.151,1.921,1.389,0.544,2.864,1.058
2016/SEP,9.276,7.848,0.826,0.668,5.679,9.718,0.516,37.458,0.098,1.836,1.377,0.48,3.202,1.375
2016/OCT,7.864,6.193,0.85,0.659,5.293,9.202,0.516,37.509,0.082,2.016,1.401,0.497,3.338,1.472
2016/NOV,6.507,5.63,0.837,0.625,4.757,8.465,0.516,37.458,0.13,1.866,1.444,0.669,3.276,1.445
2016/DIC,5.648,4.746,0.872,0.663,4.143,7.648,0.516,37.458,0.084,1.813,1.418,0.852,3.359,1.438
2017/ENE,4.858,3.667,0.878,0.676,4.273,7.653,0.513,35.219,0.057,1.813,1.466,0.942,3.255,1.427
2017/FEB,4.968,3.868,0.84,0.671,4.443,7.295,0.503,34.018,0.057,1.813,1.337,0.867,3.242,1.47
2017/MAR,5.359,3.656,0.828,0.669,5.272,7.438,0.53,33.96,0.057,1.813,1.296,0.852,3.238,1.752
2017/ABR,5.832,4.225,0.822,0.658,5.176,7.248,0.478,33.038,0.057,1.81,1.294,0.851,3.209,1.812
2017/MAY,5.295,3.966,0.799,0.618,4.895,6.587,0.49,32.502,0.057,1.813,1.296,0.852,3.247,1.844
2017/JUN,4.574,2.733,0.749,0.568,4.645,4.106,0.499,33.079,0.057,1.813,1.248,0.837,3.232,1.887
2017/JUL,4.234,3.002,0.765,0.637,4.719,4.474,0.515,33.782,0.057,1.813,1.027,0.838,3.236,2.015
2017/AGO,3.426,3.134,0.806,0.811,4.58,4.895,0.496,31.148,0.057,1.813,1.029,0.84,3.248,2.015
2017/SEP,2.88,2.638,0.871,1.714,4.515,4.841,0.461,29.934,0.057,1.813,0.959,0.855,3.286,1.997
2017/OCT,2.711,2.452,0.771,1.545,4.73,5.013,0.45,29.951,0.057,1.813,0.728,0.761,3.288,1.898
2017/NOV,2.536,3.046,0.723,1.495,4.379,4.904,0.426,29.834,0.057,1.813,0.896,0.897,3.288,1.886
2017/DIC,2.444,2.566,0.667,1.429,4.925,5.798,0.451,30.449,0.057,1.813,1.042,0.997,3.249,1.925
2018/ENE,2.487,2.558,0.593,1.271,4.64,5.546,0.457,30.862,0.039,0.801,1.048,0.882,3.492,2.117
2018/FEB,2.828,2.27,0.603,1.276,4.154,6.675,0.445,31.031,0.031,0.398,0.868,0.772,3.944,2.194
2018/MAR,2.864,2.056,0.57,1.385,5.049,7.867,0.435,31.043,0.031,0.398,0.823,0.745,4.333,2.099
2018/ABR,2.116,1.724,0.476,1.165,5.305,8.629,0.438,31.293,0.031,0.398,0.651,0.62,4.251,1.87
2018/MAY,1.576,1.528,0.446,1.171,5.247,8.034,0.416,30.475,0.031,0.398,0.656,0.568,4.223,1.806
