X,Y,TVD,DELTA_X,DELTA_Y,DELTA_TVD
517058.5,2109864.39,4831.37,13.28,0.16,26.9
517045.22,2109864.55,4858.27,13.27,0.15,26.91
517031.95,2109864.7,4885.18,13.28,0.15,26.9
517018.67,2109864.85,4912.08,13.28,0.16,26.9
517005.39,2109865.01,4938.98,13.27,0.15,26.9
516992.12,2109865.16,4965.88,13.28,0.15,26.9
516978.84,2109865.31,4992.78,13.28,0.16,26.9
516965.56,2109865.47,5019.68,13.28,0.15,26.91
516952.28,2109865.62,5046.59,13.27,0.15,26.9
516939.01,2109865.77,5073.49,13.28,0.15,26.9
516925.73,2109865.92,5100.39,13.28,0.16,26.9
516912.45,2109866.08,5127.29,13.27,0.15,26.9
516899.18,2109866.23,5154.19,13.28,0.15,26.9
516885.9,2109866.38,5181.09,13.28,0.16,26.9
516872.62,2109866.54,5207.99,13.28,0.15,26.91
516859.34,2109866.69,5234.9,13.27,0.15,26.9
516846.07,2109866.84,5261.8,13.28,0.15,26.9
516832.79,2109866.99,5288.7,13.28,0.16,26.9
516819.51,2109867.15,5315.6,13.27,0.15,26.9
516806.24,2109867.3,5342.5,13.28,0.15,26.9
516792.96,2109867.45,5369.4,13.28,0.16,26.91
516779.68,2109867.61,5396.31,13.28,0.15,26.9
516766.4,2109867.76,5423.21,13.27,0.15,26.9
516753.13,2109867.91,5450.11,13.28,0.16,26.9
516739.85,2109868.07,5477.01,13.28,0.15,26.9
516726.57,2109868.22,5503.91,13.27,0.15,26.9
516713.3,2109868.37,5530.81,13.28,0.15,26.9
516700.02,2109868.52,5557.71,13.28,0.16,26.91
516686.74,2109868.68,5584.62,13.28,0.15,26.9
516673.46,2109868.83,5611.52,13.27,0.15,26.9
516660.19,2109868.98,5638.42,13.28,0.16,26.9
516646.91,2109869.14,5665.32,13.28,0.15,26.9
516633.63,2109869.29,5692.22,13.27,0.15,26.9
516620.36,2109869.44,5719.12,13.28,0.15,26.91
516607.08,2109869.59,5746.03,13.28,0.16,26.9
516593.8,2109869.75,5772.93,13.28,0.15,26.9
516580.52,2109869.9,5799.83,13.27,0.15,26.9
516567.25,2109870.05,5826.73,13.28,0.16,26.9
516553.97,2109870.21,5853.63,13.28,0.15,26.9
516540.69,2109870.36,5880.53,13.27,0.15,26.9
516527.42,2109870.51,5907.43,13.28,0.16,26.91
516514.14,2109870.67,5934.34,13.28,0.15,26.9
516500.86,2109870.82,5961.24,13.28,0.15,26.9
516487.58,2109870.97,5988.14,13.27,0.15,26.9
516474.31,2109871.12,6015.04,13.28,0.16,26.9
516461.03,2109871.28,6041.94,13.28,0.15,26.9
516447.75,2109871.43,6068.84,13.27,0.15,26.91
516434.48,2109871.58,6095.75,13.28,0.16,26.9
516421.2,2109871.74,6122.65,13.28,0.15,26.9
516407.92,2109871.89,6149.55,13.28,0.15,26.9
516394.64,2109872.04,6176.45,13.27,0.16,26.9
516381.37,2109872.2,6203.35,13.28,0.15,26.9
516368.09,2109872.35,6230.25,13.28,0.15,26.9
516354.81,2109872.5,6257.15,13.28,0.15,26.91
516341.53,2109872.65,6284.06,13.27,0.16,26.9
516328.26,2109872.81,6310.96,13.28,0.15,26.9
516314.98,2109872.96,6337.86,13.86,0.16,28.08
516301.12,2109873.12,6365.94,12.69,0.15,25.72
516288.43,2109873.27,6391.66,13.28,0.15,26.9
516275.15,2109873.42,6418.56,13.28,0.15,26.91
516261.87,2109873.57,6445.47,13.28,0.15,26.9
516248.59,2109873.72,6472.37,13.27,0.16,26.9
516235.32,2109873.88,6499.27,13.28,0.15,26.9
516222.04,2109874.03,6526.17,13.28,0.15,26.9
516208.76,2109874.18,6553.07,13.27,0.16,26.9
516195.49,2109874.34,6579.97,13.28,0.15,26.91
516182.21,2109874.49,6606.88,13.28,0.15,26.9
516168.93,2109874.64,6633.78,13.28,0.16,26.9
516155.65,2109874.8,6660.68,13.27,0.15,26.9
516142.38,2109874.95,6687.58,13.28,0.15,26.9
516129.1,2109875.1,6714.48,13.28,0.15,26.9
516115.82,2109875.25,6741.38,13.27,0.16,26.9
516102.55,2109875.41,6768.28,13.28,0.15,26.91
516089.27,2109875.56,6795.19,13.28,0.15,26.9
516075.99,2109875.71,6822.09,13.28,0.16,26.9
516062.71,2109875.87,6848.99,13.27,0.15,26.9
516049.44,2109876.02,6875.89,13.28,0.15,26.9
516036.16,2109876.17,6902.79,13.28,0.15,26.9
516022.88,2109876.32,6929.69,13.27,0.16,26.91
516009.61,2109876.48,6956.6,13.28,0.15,26.9
515996.33,2109876.63,6983.5,11.07,0.13,22.41
515985.26,2109876.76,7005.91,,,
